Day,Campaign name,Ad name,Amount Spent,Impressions,Reach,Frequency,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate)
2026-05-01,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Medo do Escuro,1258.86,102189,0,0,12.32,2175,0.58,2.13
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 03 — Cópia,15.75,553,0,0,28.48,5,3.15,0.9
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 03 — Cópia,15.64,345,0,0,45.33,4,3.91,1.16
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 03 — Cópia,9.85,263,0,0,37.45,3,3.28,1.14
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 03 — Cópia,6.21,265,0,0,23.43,2,3.1,0.75
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 06 — Cópia,82.82,2827,0,0,29.3,34,2.44,1.2
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 06 — Cópia,65.14,2965,0,0,21.97,29,2.25,0.98
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 06 — Cópia,35.21,1726,0,0,20.4,12,2.93,0.7
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 06 — Cópia,24.79,676,0,0,36.67,6,4.13,0.89
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 06 — Cópia,4.0,252,0,0,15.87,2,2.0,0.79
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD13_PSIVendas_Set,376.86,11884,0,0,31.71,180,2.09,1.51
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD13_PSIVendas_Set,334.9,8825,0,0,37.95,156,2.15,1.77
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD13_PSIVendas_Set,131.08,4320,0,0,30.34,79,1.66,1.83
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD13_PSIVendas_Set,111.55,3664,0,0,30.44,70,1.59,1.91
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD13_PSIVendas_Set,60.32,1423,0,0,42.39,25,2.41,1.76
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,79.48,2376,0,0,33.45,25,3.18,1.05
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,49.21,1183,0,0,41.6,22,2.24,1.86
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,48.87,1186,0,0,41.21,11,4.44,0.93
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,40.8,1320,0,0,30.91,19,2.15,1.44
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,38.81,1157,0,0,33.54,13,2.99,1.12
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,6.96,217,0,0,32.07,4,1.74,1.84
2026-05-01,[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,6.89,166,0,0,41.51,3,2.3,1.81
2026-05-01,[PSI08] [Compra] [Quente] [Teste Criativos] [Estáticos] - ABO,[PSI] AD-E 02,13.46,1022,0,0,13.17,2,6.73,0.2
2026-05-01,[PSI08] [Compra] [Quente] [Teste Criativos] [Estáticos] - ABO,[PSI] AD-E 03,210.39,13433,0,0,15.66,81,2.6,0.6
2026-05-01,[PSI08] [Compra] [Quente] [Teste Criativos] [Estáticos] - ABO,[PSI] AD-E 03,50.66,2309,0,0,21.94,16,3.17,0.69
2026-05-01,[PSI08] [Compra] [Quente] [Teste Criativos] [Estáticos] - ABO,[PSI] AD-E 06,44.59,2999,0,0,14.87,19,2.35,0.63
2026-05-01,[PSI08] [Compra] [Quente] [Teste Criativos] [Estáticos] - ABO,[PSI] AD-E 06,14.36,642,0,0,22.37,4,3.59,0.62
