Campaign name,Ad name,Amount Spent,Impressions,Reach,Frequency,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Purchases
[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,1621.26,64116,29979,2.14,25.28,791,2.05,1.23,81
[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,1439.83,73708,42381,1.74,19.53,1018,1.41,1.38,94
[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Medo do Escuro,1258.86,102189,67751,1.51,12.32,2131,0.59,2.09,0
[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 02 — Cópia,1256.59,57627,18249,3.16,21.8,389,3.23,0.68,63
[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01,1216.31,70762,28255,2.5,17.19,494,2.46,0.7,60
[PSI08] [Compra] [Frio] - ABO,[PSI] AD13_PSIVendas_Set,1014.71,30116,21542,1.4,33.69,288,3.52,0.96,4
[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 04 — Cópia,623.59,23040,7502,3.07,27.06,157,3.97,0.68,15
[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,603.81,21504,12642,1.7,28.08,269,2.24,1.25,9
[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,287.91,8548,4459,1.92,33.68,59,4.88,0.69,2
[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 06,280.54,10515,4953,2.12,26.68,149,1.88,1.42,2
[PSI08] [Compra] [Frio] - ABO,[PSI] AD14_PSIVendas_Set,271.02,7605,5007,1.52,35.64,61,4.44,0.8,1
[PSI08] [Compra] [Quente] [Teste Criativos] [Estáticos] - ABO,[PSI] AD-E 03,261.05,15742,6654,2.37,16.58,65,4.02,0.41,3
[PSI08] [Compra] [Frio] - ABO,[PSI] AD-E 06 — Cópia,211.96,8446,4862,1.74,25.1,56,3.79,0.66,1
[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,205.21,11205,8010,1.4,18.32,107,1.92,0.95,30
[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,204.8,5371,4887,1.1,38.13,80,2.56,1.49,6
[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,194.12,7412,5459,1.36,26.19,131,1.48,1.77,5
[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,175.14,8433,5265,1.6,20.77,71,2.47,0.84,12
[PSI08] [Compra] [Quente] [Teste Criativos] [Estáticos] - ABO,[PSI] AD-V: Você já saiu,173.41,8106,3895,2.08,21.39,79,2.2,0.97,1
[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 04,171.71,6736,3251,2.07,25.49,49,3.5,0.73,3
[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 01,143.75,8207,6586,1.25,17.52,63,2.28,0.77,5
[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,121.89,3129,2003,1.56,38.95,36,3.39,1.15,0
